r,parity_prefix_int,parity_prefix_bin,popcount
20967,507511,01111011111001110111,15
20975,261871,00111111111011101111,16
20991,304639,01001010010111111111,13
21083,122299,00011101110110111011,13
21119,363391,01011000101101111111,13
21147,868219,11010011111101111011,15
21159,1013175,11110111010110110111,15
21183,937663,11100100111010111111,14
21199,750543,10110111001111001111,14
21231,1039855,11111101110111101111,17
21279,226911,00110111011001011111,13
21319,949719,11100111110111010111,15
21351,969719,11101100101111110111,15
21439,388543,01011110110110111111,15
21503,685055,10100111001111111111,15
21531,241403,00111010111011111011,14
21535,429919,01101000111101011111,13
21551,244143,00111011100110101111,13
21607,890615,11011001011011110111,14
21631,62847,00001111010101111111,13
21663,1037279,11111101001111011111,16
21671,504759,01111011001110110111,14
21743,974831,11101101111111101111,17
21759,222463,00110110010011111111,13
21787,1035771,11111100110111111011,16
21831,474071,01110011101111010111,14
21863,439799,01101011010111110111,14
21887,912511,11011110110001111111,15
21919,1015519,11110111111011011111,17
21951,626623,10011000111110111111,14
21967,483023,01110101111011001111,14
21983,707487,10101100101110011111,13
22043,980219,11101111010011111011,15
22063,815023,11000110111110101111,14
22143,698239,10101010011101111111,14
22175,417247,01100101110111011111,14
22247,744311,10110101101101110111,14
22271,947967,11100111011011111111,16
22299,372731,01011010111111111011,15
22375,616439,10010110011111110111,14
22383,720495,10101111111001101111,15
22439,237239,00111001111010110111,13
22463,586175,10001111000110111111,13
22523,503515,01111010111011011011,14
22527,739327,10110100011111111111,15
22559,512863,01111101001101011111,14
22591,618047,10010110111000111111,13
22619,57275,00001101111110111011,13
22631,879351,11010110101011110111,14
22639,1034095,11111100011101101111,15
22687,548831,10000101111111011111,14
22735,572879,10001011110111001111,13
22779,915419,11011111011111011011,16
22783,194815,00101111100011111111,14
22855,278487,01000011111111010111,13
22975,629695,10011001101110111111,14
23007,585631,10001110111110011111,14
